chibicode;germaaan
RichardLitt;xuhdev
torvalds;linvjw
rwdaigle;jakemcc
htejun;JoePerches
tiwai;rjwysocki
tiwai;arndb
torvalds;ralfbaechle
EvanDotPro;dlu;gs
techotaku;koriroys
parkr;rslifka
htejun;ozbenh
rjwysocki;danvet
Hounddog;samsonasik
Arasthel;xadro
Xerkus;PowerKiKi
tiwai;JuliaLawall
rsertelon;jcn
kAworu;jakemcc
danielfone;awkerney
germaaan;Haacked
parnmatt;jkuchta
tiwai;neilbrown
chibicode;jakemcc
vattay;koriroys
samsonasik;YonmaN
coding46;opie4624
neilbrown;paulusmack
rslifka;tomhoover
imathis;KeenRivals
herbertx;paulusmack
tawfekov;PowerKiKi
germaaan;PSanchezR
vattay;rsertelon
chibicode;kAworu
Freeaqingme;mhujer
Freeaqingme;PowerKiKi
RichardLitt;techotaku
ualjjcanada;jpc537
davem330;bzolnier
RadW2020;daz
BinaryKitten;sasezaki
djoos;nolith
akrabat;spiffyjr
AxelLin;kaber
danielfone;techotaku
AdrianBunk;paulusmack
rjwysocki;herbertx
AlfonsoBosch;ualluisiribarne
broonie;ozbenh
zlu;bendoerr
ralfbaechle;dwmw2
xuhdev;fleeting
broonie;bzolnier
jmberg;ebiederm
torvalds;rustyrussell
marshallshen;jkuchta
RichardLitt;jogjayr
ickle;herbertx
juanlubf;itchigo
ebiederm;rjwysocki
kAworu;howiehu
djoos;jcn
chibicode;treyhunner
duckpuppy;tomhoover
htejun;jmberg
samsonasik;RWOverdijk
RadW2020;LorenaSoriano
kaber;olofj
jmberg;linvjw
dmelo;YonmaN
nolith;opie4624
olofj;linvjw
RichardLitt;alishutc
davem330;rjwysocki
RadW2020;philips
gisikw;floydpink
JJ;yous
bzolnier;paulusmack
akrabat;juriansluiman
JuliaLawall;chrismason;xx
coss;kassah
spiffyjr;samsonasik
awkerney;fleeting
ralfbaechle;JuliaLawall
ebiederm;ickle
marshallshen;subosito
AxelLin;dwmw2
Arasthel;MrBIMC
lzcabrera;alishutc
vyper;bendoerr
diemuzi;RWOverdijk
Maks3w;kassah
dmelo;lrodziewicz
RichardLitt;rsertelon
hacst;jetliao0909
zlu;vyper
zlu;Darkhogg
Bittarman;samsonasik
htejun;paulusmack
lsmith77;dmelo
spiffyjr;BinaryKitten
jldam;makyangosto
plusjade;philips
dwmw2;chrismason;xx
davem330;danvet
imathis;parkr
juanlubf;jpc537
RadW2020;xuhdev
akrabat;Freeaqingme
tiwai;broonie
dlu;gs;diemuzi
koomar;techotaku
studiomohawk;koriroys
fhemberger;tomhoover
jmberg;neilbrown
parnmatt;alishutc
akrabat;lsmith77
Ocramius;diemuzi
EvanDotPro;BinaryKitten
marshallshen;studiomohawk
herbertx;linvjw
zlu;duckpuppy
fleeting;jkuchta
dlu;gs;YonmaN
AdrianBunk;tmlind
josejuansanchez;raulraja
AdrianBunk;herbertx
JJ;vyper
broonie;chrismason;xx
rsertelon;opie4624
Ocramius;Freeaqingme
JoePerches;danvet
Bittarman;dlu;gs
JoePerches;ralfbaechle
plusjade;djoos
vattay;subosito
imathis;dbloete
dlu;gs;localheinz
opie4624;jkuchta
alishutc;xuhdev
gabriel403;juriansluiman
RichardLitt;parnmatt
duckpuppy;floydpink
vragovR;coss
EvanDotPro;juriansluiman
RadW2020;jcn
djoos;awkerney
Darkhogg;ndbroadbent
nolith;jkuchta
vattay;jkuchta
studiomohawk;xuhdev
Bittarman;dmelo
parkr;vyper
torvalds;davem330
Xerkus;lrodziewicz
juriansluiman;samsonasik
javipacheco;raulraja
jmberg;bzolnier
Darkhogg;tomhoover
mhujer;Xerkus
RadW2020;makyangosto
gisikw;lukearmstrong
rsertelon;philips
tomhoover;jakemcc
broonie;arndb
Darkhogg;howiehu
broonie;dwmw2
davem330;neilbrown
Maks3w;spiffyjr
philips;jkuchta
JoePerches;ickle
frangarcj;xerpi
jogjayr;daz
spiffyjr;Ocramius
chibicode;KeenRivals
Funo;raprav
Ocramius;RWOverdijk
jlblancoc;bakercp
arndb;linvjw
htejun;linvjw
parkr;KeenRivals
raprav;Ocramius
RichardLitt;vattay
JJ;ndbroadbent
raprav;Hounddog
subosito;opie4624
raprav;kassah
coss;YonmaN
coding46;nolith
djoos;parnmatt
rwdaigle;tomhoover
IreneMart;AlfonsoBosch
EvanDotPro;dmelo
kassah;samsonasik
torvalds;arndb
subosito;lzcabrera
germaaan;ndbroadbent
bzolnier;dwmw2
ickle;paulusmack
akrabat;dlu;gs
ualacorral;ualluisiribarne
chibicode;yous
koomar;opie4624
rslifka;jakemcc
htejun;rustyrussell
coding46;jkuchta
rwdaigle;omo
weierophinney;dlu;gs
subosito;koriroys
mhujer;tawfekov
RadW2020;lzcabrera
tomhoover;howiehu
EvanDotPro;weierophinney
juriansluiman;YonmaN
lukearmstrong;KeenRivals
vragovR;Xerkus
kaber;linvjw
localheinz;lrodziewicz
ndbroadbent;rwdaigle
ualjjcanada;dvormagic
danvet;tmlind
vragovR;tawfekov
Freeaqingme;lrodziewicz
fhemberger;jbrains
koomar;nolith
lukearmstrong;omo
germaaan;zlu
JJ;duckpuppy
davFlores;pemeja
raprav;lrodziewicz
marshallshen;lzcabrera
weierophinney;Ocramius
RichardLitt;lzcabrera
djoos;alishutc
akrabat;PowerKiKi
koomar;fleeting
ualmtorres;IreneMart
raprav;localheinz
herbertx;tmlind
xuhdev;jkuchta
arndb;rustyrussell
lenb;chrismason;xx
ualacorral;imaguila
localheinz;RWOverdijk
mhujer;Hounddog
weierophinney;mhujer
mikl;KeenRivals
coss;BinaryKitten
weierophinney;Bittarman
pierredup;techotaku
ebiederm;linvjw
mhujer;kassah
raprav;diemuzi
vattay;fleeting
juriansluiman;Xerkus
vyper;KeenRivals
neilbrown;herbertx
zlu;lukearmstrong
fhemberger;pilif
chibicode;dbloete
tiwai;ickle
Maks3w;Xerkus
jlblancoc;dtmoodie
mikl;floydpink
coding46;awkerney
yous;rwdaigle
RadW2020;marshallshen
tiwai;jmberg
Ocramius;vragovR
htejun;ralfbaechle
1000io;FunFR
bendoerr;jbrains
Xerkus;dlu;gs
BinaryKitten;kassah
kassah;RWOverdijk
jmberg;JoePerches
broonie;paulusmack
ualmtorres;AlfonsoBosch
ualacorral;ualmtorres
parkr;omo
kvannotten;jkuchta
rslifka;howiehu
ozbenh;tmlind
Hounddog;localheinz
AdrianBunk;olofj
neilbrown;tmlind
Maks3w;Ocramius
olofj;paulusmack
studiomohawk;vattay
linvjw;danvet
lsmith77;tawfekov
dbloete;rwdaigle
JJ;rwdaigle
EvanDotPro;kassah
tiwai;linvjw
vattay;xuhdev
broonie;ebiederm
RadW2020;parnmatt
marshallshen;kvannotten
yous;mikl
torvalds;ozbenh
weierophinney;localheinz
BinaryKitten;RWOverdijk
lukearmstrong;Haacked
parnmatt;philips
Haacked;floydpink
pierredup;nolith
mikl;treyhunner
dexafree;edouardouvrard
raprav;samsonasik
davem330;broonie
subosito;xuhdev
subosito;koomar
akrabat;samsonasik
AxelLin;danvet
torvalds;tiwai
raprav;lsmith77
dwmw2;lenb
Bittarman;mhujer
